VPC,Subnet,RouteTableId,DestinationCidrBlock,GatewayId,VpcPeeringConnectionId,Origin,State,AssociatedSubnetId,Tags
"devops-locked-vpc","devops-locked-subnet","rtb-094fea2f99bb0acc9","10.2.0.0/16","local","-","CreateRouteTable","active","subnet-0a7863c4791ae49f2","Name=DevOps-LockedRouteTable
DevOps=true
aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d
aws:cloudformation:stack-name=network-mapping
aws:cloudformation:logical-id=DevOpsRouteTable"
"devops-locked-vpc","devops-locked-subnet","rtb-094fea2f99bb0acc9","0.0.0.0/0","-","-","CreateRoute","active","subnet-0a7863c4791ae49f2","Name=DevOps-LockedRouteTable
DevOps=true
aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d
aws:cloudformation:stack-name=network-mapping
aws:cloudformation:logical-id=DevOpsRouteTable"
"devops-locked-vpc","devops-locked-subnet","rtb-094fea2f99bb0acc9","-","vpce-020af608b10402b00","-","CreateRoute","active","subnet-0a7863c4791ae49f2","Name=DevOps-LockedRouteTable
DevOps=true
aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d
aws:cloudformation:stack-name=network-mapping
aws:cloudformation:logical-id=DevOpsRouteTable"
"devops-private-vpc","devops-private-subnet","rtb-0a01a0b09d8ff4547","10.0.0.0/16","-","pcx-0b2f7050573bcea16","CreateRoute","active","subnet-0ebc71f9acbeba83c","DevOps=true
aws:cloudformation:logical-id=PrivateRouteTable
aws:cloudformation:stack-name=network-mapping
Name=DevOps-PrivateRouteTable
aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d"
"devops-private-vpc","devops-private-subnet","rtb-0a01a0b09d8ff4547","10.1.0.0/16","local","-","CreateRouteTable","active","subnet-0ebc71f9acbeba83c","DevOps=true
aws:cloudformation:logical-id=PrivateRouteTable
aws:cloudformation:stack-name=network-mapping
Name=DevOps-PrivateRouteTable
aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d"
"devops-private-vpc","devops-private-subnet","rtb-0a01a0b09d8ff4547","0.0.0.0/0","-","pcx-0b2f7050573bcea16","CreateRoute","active","subnet-0ebc71f9acbeba83c","DevOps=true
aws:cloudformation:logical-id=PrivateRouteTable
aws:cloudformation:stack-name=network-mapping
Name=DevOps-PrivateRouteTable
aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d"
"devops-private-vpc","devops-private-subnet","rtb-0a01a0b09d8ff4547","-","vpce-0d3fa9c6ea83d144d","-","CreateRoute","active","subnet-0ebc71f9acbeba83c","DevOps=true
aws:cloudformation:logical-id=PrivateRouteTable
aws:cloudformation:stack-name=network-mapping
Name=DevOps-PrivateRouteTable
aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d"
"devops-public-vpc","devops-public-subnet","rtb-0a105b3415eec5b66","10.0.0.0/16","local","-","CreateRouteTable","active","subnet-03ea1805ea65cba01","aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d
DevOps=true
Name=DevOps-PublicRouteTable
aws:cloudformation:logical-id=PublicRouteTable
aws:cloudformation:stack-name=network-mapping"
"devops-public-vpc","devops-public-subnet","rtb-0a105b3415eec5b66","10.1.0.0/16","-","pcx-0b2f7050573bcea16","CreateRoute","active","subnet-03ea1805ea65cba01","aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d
DevOps=true
Name=DevOps-PublicRouteTable
aws:cloudformation:logical-id=PublicRouteTable
aws:cloudformation:stack-name=network-mapping"
"devops-public-vpc","devops-public-subnet","rtb-0a105b3415eec5b66","0.0.0.0/0","igw-00c373c8feb8a9fc9","-","CreateRoute","active","subnet-03ea1805ea65cba01","aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d
DevOps=true
Name=DevOps-PublicRouteTable
aws:cloudformation:logical-id=PublicRouteTable
aws:cloudformation:stack-name=network-mapping"
