VPC,NetworkAclId,VpcId,OwnerId,IsDefault,AssociationId,AssociatedSubnetId,RuleNumber,Protocol,RuleAction,Egress,CidrBlock
"devops-locked-vpc","acl-050c3edfbc5a5c45c","vpc-0f7fa8fdff02da590","***","true","aclassoc-0b3072187ee2a0b15","subnet-0a7863c4791ae49f2","100","-1","allow","true","0.0.0.0/0"
"devops-locked-vpc","acl-050c3edfbc5a5c45c","vpc-0f7fa8fdff02da590","***","true","aclassoc-0b3072187ee2a0b15","subnet-0a7863c4791ae49f2","32767","-1","deny","true","0.0.0.0/0"
"devops-locked-vpc","acl-050c3edfbc5a5c45c","vpc-0f7fa8fdff02da590","***","true","aclassoc-0b3072187ee2a0b15","subnet-0a7863c4791ae49f2","100","-1","allow","false","0.0.0.0/0"
"devops-locked-vpc","acl-050c3edfbc5a5c45c","vpc-0f7fa8fdff02da590","***","true","aclassoc-0b3072187ee2a0b15","subnet-0a7863c4791ae49f2","32767","-1","deny","false","0.0.0.0/0"
"devops-private-vpc","acl-094e630376c0da655","vpc-0dd98b0cb5d3ded56","***","true","aclassoc-0b4903404c378f38b","subnet-0ebc71f9acbeba83c","100","-1","allow","true","0.0.0.0/0"
"devops-private-vpc","acl-094e630376c0da655","vpc-0dd98b0cb5d3ded56","***","true","aclassoc-0b4903404c378f38b","subnet-0ebc71f9acbeba83c","32767","-1","deny","true","0.0.0.0/0"
"devops-private-vpc","acl-094e630376c0da655","vpc-0dd98b0cb5d3ded56","***","true","aclassoc-0b4903404c378f38b","subnet-0ebc71f9acbeba83c","100","-1","allow","false","0.0.0.0/0"
"devops-private-vpc","acl-094e630376c0da655","vpc-0dd98b0cb5d3ded56","***","true","aclassoc-0b4903404c378f38b","subnet-0ebc71f9acbeba83c","32767","-1","deny","false","0.0.0.0/0"
"devops-public-vpc","acl-0990f4cab4b9d22eb","vpc-028b2dc2728406fd9","***","true","aclassoc-0b35baba95a5a21cf","subnet-03ea1805ea65cba01","100","-1","allow","true","0.0.0.0/0"
"devops-public-vpc","acl-0990f4cab4b9d22eb","vpc-028b2dc2728406fd9","***","true","aclassoc-0b35baba95a5a21cf","subnet-03ea1805ea65cba01","32767","-1","deny","true","0.0.0.0/0"
"devops-public-vpc","acl-0990f4cab4b9d22eb","vpc-028b2dc2728406fd9","***","true","aclassoc-0b35baba95a5a21cf","subnet-03ea1805ea65cba01","100","-1","allow","false","0.0.0.0/0"
"devops-public-vpc","acl-0990f4cab4b9d22eb","vpc-028b2dc2728406fd9","***","true","aclassoc-0b35baba95a5a21cf","subnet-03ea1805ea65cba01","32767","-1","deny","false","0.0.0.0/0"
